longitude,latitude,location,photo_id,county,year,description,url,preview
-76.249701,42.623435,approximate,AJ-1-5,Cortland,1936,Centered near Groton City in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/e716e708-af6d-4bf6-9790-3c6713f93263.jpg,http://stor.artstor.org/stor/e716e708-af6d-4bf6-9790-3c6713f93263_size2
-76.214521,42.66962,approximate,AJ-1-43,Cortland,1936,Centered near Pratt Corners in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/a4c2ce74-8a80-4223-8196-f041a70eeb5d.jpg,http://stor.artstor.org/stor/a4c2ce74-8a80-4223-8196-f041a70eeb5d_size2
-76.218633,42.626892,approximate,AJ-1-47,Cortland,1936,Centered near Homer in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/daef0bc4-8300-47f1-bbac-a36008162199.jpg,http://stor.artstor.org/stor/daef0bc4-8300-47f1-bbac-a36008162199_size2
-76.216135,42.649045,approximate,AJ-1-45,Cortland,1936,Centered in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/36eb18f9-8e29-426e-8451-a845230ff969.jpg,http://stor.artstor.org/stor/36eb18f9-8e29-426e-8451-a845230ff969_size2
-76.18512,42.631489,approximate,AJ-1-56,Cortland,1936,Centered in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/230a0f6c-be8f-4385-92a8-9b29a9449da1.jpg,http://stor.artstor.org/stor/230a0f6c-be8f-4385-92a8-9b29a9449da1_size2
-76.184772,42.58756,approximate,AJ-1-52,Cortland,1936,Centered in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/d4bffb32-881e-45fd-8d97-66b098f1d656.jpg,http://stor.artstor.org/stor/d4bffb32-881e-45fd-8d97-66b098f1d656_size2
-76.185251,42.609749,approximate,AJ-1-54,Cortland,1936,Centered in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/d64ed911-397d-4b75-9ca5-b1b3846f5965.jpg,http://stor.artstor.org/stor/d64ed911-397d-4b75-9ca5-b1b3846f5965_size2
-76.312686,42.351234,approximate,AJ-18-3,Tompkins,1936,Centered near Caroline Center in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/49cd4eca-df5b-46f0-8041-9034d2b10f2e.jpg,http://stor.artstor.org/stor/49cd4eca-df5b-46f0-8041-9034d2b10f2e_size2
-76.149883,42.783092,approximate,AJ-1-84,Cortland,1936,Centered near Tully Lake Park in Tully (13159) in Onondaga County New York.,http://stor.artstor.org/stor/733a02be-ad1b-4b49-9ac9-b432eeb51650.jpg,http://stor.artstor.org/stor/733a02be-ad1b-4b49-9ac9-b432eeb51650_size2
-76.21171,42.407088,approximate,AJ-18-33,Cortland,1936,Centered near Harford Mills in Richford (13835) in Tioga County New York.,http://stor.artstor.org/stor/788e1c58-7b32-4848-8124-502a1b990937.jpg,http://stor.artstor.org/stor/788e1c58-7b32-4848-8124-502a1b990937_size2
-76.180111,42.406167,approximate,AJ-18-49,Cortland,1936,Centered near Harford Mills in Richford (13835) in Tioga County New York.,http://stor.artstor.org/stor/1bd6de0e-4b1c-496f-938a-d3d8b9b12642.jpg,http://stor.artstor.org/stor/1bd6de0e-4b1c-496f-938a-d3d8b9b12642_size2
-76.310102,42.36888,approximate,AJ-18-5,Tompkins,1936,Centered near Caroline in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/787a61ef-45c3-411a-8c78-f2765d82e06f.jpg,http://stor.artstor.org/stor/787a61ef-45c3-411a-8c78-f2765d82e06f_size2
-76.209351,42.478131,approximate,AJ-18-25,Cortland,1936,Centered near Virgil in Dryden (13053) in Tompkins County New York.,http://stor.artstor.org/stor/c13db89c-5ace-44ce-a8c4-a86dfca7256b.jpg,http://stor.artstor.org/stor/c13db89c-5ace-44ce-a8c4-a86dfca7256b_size2
-76.211272,42.460104,approximate,AJ-18-27,Cortland,1936,Centered near Harford in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/e0368c4e-a5cc-4f6d-96c9-5718ea07f2e3.jpg,http://stor.artstor.org/stor/e0368c4e-a5cc-4f6d-96c9-5718ea07f2e3_size2
-76.210766,42.425368,approximate,AJ-18-31,Cortland,1936,Centered near Harford in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/f4ec4e77-7afb-473d-a370-4bfd4c7b41aa.jpg,http://stor.artstor.org/stor/f4ec4e77-7afb-473d-a370-4bfd4c7b41aa_size2
-76.209797,42.442353,approximate,AJ-18-29,Cortland,1936,Centered near Harford in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/a66cf8bc-a05a-4ab8-8888-57bf1307dc0c.jpg,http://stor.artstor.org/stor/a66cf8bc-a05a-4ab8-8888-57bf1307dc0c_size2
-76.122905,42.411687,approximate,AJ-24-20,Cortland,1936,Centered near Hunts Corners in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/c6f5f1e6-5772-4d62-83d0-85612946e5e0.jpg,http://stor.artstor.org/stor/c6f5f1e6-5772-4d62-83d0-85612946e5e0_size2
-76.119552,42.472538,approximate,AJ-24-26,Cortland,1936,Centered near East Virgil in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/cb3f8aa5-3104-4464-892b-0e2667b732a7.jpg,http://stor.artstor.org/stor/cb3f8aa5-3104-4464-892b-0e2667b732a7_size2
-76.127661,42.429731,approximate,AJ-24-22,Cortland,1936,Centered near Hunts Corners in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/7ae9b454-a4d2-4cbc-bb5e-513654d2ae14.jpg,http://stor.artstor.org/stor/7ae9b454-a4d2-4cbc-bb5e-513654d2ae14_size2
